Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1035,Frank,Jones,25,Cloud Tech-Illinois,Inactive,26-Oct-22,114357.1,frank.jones@example.com,6642147648,Excellent,TRUE
EMP1036,Alice,Brown,32,Cloud Tech-New York,Active,03-May-23,54757.26,alice.brown@example.com,2515837766,Poor,FALSE
EMP1037,Grace,Smith,25,Sales-New York,Pending,02-May-23,52781.92,grace.smith@example.com,4996165925,Average,TRUE
EMP1038,Frank,Smith,35,Admin-Nevada,Pending,05-Oct-21,66708.02,frank.smith@example.com,6108573277,Good,TRUE
EMP1039,Eva,Williams,40,HR-Texas,Active,27-Jul-22,93481.15,eva.williams@example.com,8147617421,Poor,FALSE
EMP1040,Bob,Williams,25,Sales-New York,Pending,27-Jun-21,59271.96,bob.williams@example.com,4386490809,Excellent,TRUE
EMP1041,Bob,Davis,30,HR-California,Active,16-Jun-22,108362.15,bob.davis@example.com,8186617944,Excellent,FALSE
EMP1042,Alice,Johnson,32,HR-Nevada,Active,03-Dec-24,59400.38,alice.johnson@example.com,4918017225,Average,TRUE
EMP1043,Bob,Garcia,32,Admin-California,Inactive,23-May-23,64744.08,bob.garcia@example.com,164597793,Excellent,FALSE
EMP1044,Eva,Brown,32,Finance-California,Active,08-Jul-20,94399.91,eva.brown@example.com,5232194167,Good,TRUE
EMP1045,Alice,Brown,25,HR-New York,Pending,20-Jun-21,61310.74,alice.brown@example.com,61027768,Average,TRUE
EMP1046,Grace,Garcia,32,Cloud Tech-Texas,Active,13-Dec-24,98371.37,grace.garcia@example.com,7499564121,Excellent,FALSE
EMP1047,Alice,Davis,35,Sales-Illinois,Active,30-May-22,58921.19,alice.davis@example.com,310303722,Average,TRUE
EMP1048,Alice,Miller,35,Admin-Nevada,Active,27-Sep-23,57195.55,alice.miller@example.com,6831472759,Excellent,FALSE
EMP1049,Grace,Miller,32,DevOps-New York,Active,05-Nov-24,61375.12,grace.miller@example.com,1227770792,Excellent,TRUE
EMP1050,Charlie,Davis,40,Cloud Tech-New York,Pending,11-Nov-21,104767.05,charlie.davis@example.com,3496050165,Excellent,FALSE
EMP1051,David,Miller,35,Admin-Nevada,Active,22-Feb-22,111051.67,david.miller@example.com,7998407677,Good,FALSE
EMP1052,David,Williams,30,Finance-California,Inactive,07-Aug-24,105674.18,david.williams@example.com,9973080694,Good,FALSE
EMP1053,Alice,Brown,30,Finance-California,Inactive,05-Nov-24,54859.45,alice.brown@example.com,8146717956,Average,FALSE
EMP1054,Frank,Davis,32,Finance-Nevada,Pending,09-Nov-21,115746.6,frank.davis@example.com,6024375737,Excellent,TRUE
EMP1055,Eva,Brown,30,Sales-California,Active,10-Aug-20,91759.99,eva.brown@example.com,3959724664,Excellent,TRUE
EMP1056,Frank,Garcia,40,Sales-Illinois,Active,27-Feb-22,112965.33,frank.garcia@example.com,7293417222,Good,FALSE
EMP1057,Alice,Smith,40,Cloud Tech-Illinois,Pending,07-Nov-23,100360.1,alice.smith@example.com,2971674337,Excellent,FALSE
EMP1058,David,Williams,35,Finance-Texas,Pending,07-Nov-21,93620.88,david.williams@example.com,54522800,Good,FALSE
EMP1059,Bob,Jones,35,Sales-California,Pending,16-Apr-22,72832.8,bob.jones@example.com,5619318373,Excellent,TRUE
EMP1060,Charlie,Williams,30,Finance-Nevada,Inactive,19-Oct-23,102369.42,charlie.williams@example.com,5508428909,Average,TRUE
EMP1061,Eva,Davis,40,Sales-Texas,Inactive,10-Aug-21,64712.79,eva.davis@example.com,7711991807,Excellent,TRUE
EMP1062,Frank,Jones,40,Finance-Florida,Pending,13-Mar-21,85782.18,frank.jones@example.com,1213524786,Excellent,TRUE
EMP1063,Charlie,Smith,25,HR-Illinois,Pending,20-Jul-23,93348.26,charlie.smith@example.com,1255213759,Poor,FALSE
EMP1064,David,Davis,35,Admin-New York,Active,20-Feb-20,53234.96,david.davis@example.com,3754821455,Good,FALSE
EMP1065,Bob,Johnson,40,Finance-Nevada,Pending,02-Feb-21,100284.21,bob.johnson@example.com,5328632665,Excellent,FALSE
EMP1066,Grace,Brown,30,Admin-Nevada,Pending,12-Jan-20,112486.19,grace.brown@example.com,7850720810,Excellent,TRUE
EMP1067,Bob,Smith,40,Admin-New York,Pending,26-Nov-22,82518.49,bob.smith@example.com,5562606028,Poor,TRUE
EMP1068,Bob,Brown,40,Admin-Florida,Pending,23-Dec-22,119152.47,bob.brown@example.com,846684549,Poor,TRUE
EMP1069,Heidi,Miller,32,DevOps-Illinois,Inactive,28-Aug-24,113479.83,heidi.miller@example.com,4892673898,Good,FALSE
EMP1070,Charlie,Johnson,40,Finance-California,Active,16-Sep-24,94636.3,charlie.johnson@example.com,7563410855,Poor,FALSE
EMP1071,Heidi,Johnson,30,HR-Florida,Active,01-Jan-24,70000.97,heidi.johnson@example.com,2884318847,Average,TRUE
EMP1072,Frank,Smith,32,Cloud Tech-New York,Active,18-Apr-21,76812.47,frank.smith@example.com,5200894345,Poor,FALSE
EMP1073,David,Johnson,25,Finance-Florida,Inactive,16-Jan-23,82614.7,david.johnson@example.com,8105485100,Average,TRUE
EMP1074,Grace,Jones,40,Sales-Nevada,Active,20-Oct-24,111645.97,grace.jones@example.com,7490753997,Good,TRUE
EMP1075,Heidi,Johnson,25,HR-California,Inactive,13-Oct-24,112414.91,heidi.johnson@example.com,9354492682,Good,FALSE
EMP1076,David,Brown,40,Admin-California,Inactive,21-Sep-22,52031.74,david.brown@example.com,1589357125,Good,TRUE
EMP1077,Grace,Brown,30,Finance-New York,Pending,29-Dec-22,51887.65,grace.brown@example.com,6110627370,Good,FALSE
EMP1078,Alice,Davis,25,DevOps-Florida,Active,10-Nov-24,82318.89,alice.davis@example.com,5869886496,Good,TRUE
EMP1079,Grace,Brown,35,Admin-Florida,Inactive,22-Nov-21,103286.08,grace.brown@example.com,6776228276,Average,FALSE
EMP1080,Grace,Davis,35,Cloud Tech-Florida,Active,14-Mar-24,87759.33,grace.davis@example.com,2881377027,Average,FALSE
EMP1081,Frank,Brown,30,DevOps-Texas,Pending,23-Mar-20,102796.32,frank.brown@example.com,5196115939,Good,FALSE
EMP1082,David,Jones,25,Sales-New York,Active,15-Sep-20,83149.27,david.jones@example.com,8215454469,Poor,TRUE
EMP1083,David,Garcia,40,DevOps-California,Inactive,09-Dec-20,92412.49,david.garcia@example.com,2296044326,Excellent,TRUE
EMP1084,Bob,Davis,30,HR-Texas,Pending,22-Feb-20,115022.1,bob.davis@example.com,185106793,Good,FALSE
EMP1085,Grace,Williams,40,DevOps-New York,Active,27-Apr-23,98343.01,grace.williams@example.com,9756792286,Poor,FALSE
EMP1086,Bob,Miller,35,DevOps-Illinois,Active,18-Jun-24,118869.1,bob.miller@example.com,7725199662,Excellent,TRUE
EMP1087,Frank,Smith,32,Finance-Nevada,Inactive,21-May-20,85417.26,frank.smith@example.com,6580741208,Good,TRUE
EMP1088,Grace,Brown,40,Cloud Tech-Florida,Inactive,25-Jul-23,112410.25,grace.brown@example.com,4818139889,Good,TRUE
EMP1089,Charlie,Johnson,40,Admin-Nevada,Pending,25-Aug-23,68905.77,charlie.johnson@example.com,9837801819,Average,FALSE
EMP1090,Heidi,Garcia,40,Finance-Nevada,Pending,03-Jul-21,72561.32,heidi.garcia@example.com,4339718955,Excellent,TRUE
EMP1091,Bob,Brown,35,Finance-New York,Inactive,13-Mar-23,92723.22,bob.brown@example.com,9070562607,Excellent,TRUE
EMP1092,Alice,Johnson,40,HR-New York,Inactive,10-Mar-21,74837.75,alice.johnson@example.com,5641118241,Poor,FALSE
EMP1093,Eva,Miller,32,DevOps-California,Pending,21-Jan-20,86163.91,eva.miller@example.com,2412462094,Average,TRUE
EMP1094,David,Miller,40,Finance-Illinois,Active,15-Nov-23,83326.52,david.miller@example.com,2004615264,Average,TRUE
EMP1095,Heidi,Miller,25,Cloud Tech-California,Active,08-Apr-22,98425.1,heidi.miller@example.com,4610339936,Average,TRUE
EMP1096,Frank,Johnson,40,Sales-Illinois,Inactive,21-May-22,119764.2,frank.johnson@example.com,8861405785,Average,FALSE
EMP1097,Frank,Brown,40,HR-California,Inactive,17-Apr-21,58445.91,frank.brown@example.com,1706304890,Excellent,FALSE
EMP1098,Bob,Miller,32,DevOps-New York,Active,19-Mar-21,101702.33,bob.miller@example.com,3824967182,Excellent,FALSE
EMP1100,Charlie,Davis,35,Cloud Tech-Texas,Pending,21-Aug-21,98819.22,charlie.davis@example.com,794200748,Good,FALSE
EMP1101,Heidi,Johnson,25,Cloud Tech-Illinois,Inactive,19-Aug-22,83509.99,heidi.johnson@example.com,4653984027,Average,FALSE
EMP1102,Alice,Johnson,35,Finance-Texas,Active,31-Mar-22,84422.26,alice.johnson@example.com,9141612845,Average,FALSE
EMP1103,Alice,Brown,30,Admin-Illinois,Inactive,23-Jun-20,119574.27,alice.brown@example.com,3985547434,Average,TRUE
EMP1104,Grace,Johnson,32,Sales-Illinois,Active,07-May-24,86580.08,grace.johnson@example.com,5379502096,Good,TRUE
EMP1105,Heidi,Johnson,35,Sales-Florida,Inactive,10-Mar-23,93471.91,heidi.johnson@example.com,26876810,Poor,FALSE
EMP1106,Bob,Miller,30,DevOps-New York,Inactive,14-Sep-23,55683.12,bob.miller@example.com,8071569561,Poor,TRUE
EMP1107,Bob,Brown,30,Cloud Tech-Florida,Inactive,12-Nov-23,91566.78,bob.brown@example.com,175370303,Good,TRUE
EMP1108,David,Miller,35,DevOps-California,Pending,26-Oct-24,81782.19,david.miller@example.com,5319433749,Good,FALSE
EMP1109,Eva,Davis,32,DevOps-New York,Inactive,23-Aug-20,88119.37,eva.davis@example.com,4793036148,Good,TRUE
EMP1110,Eva,Garcia,30,Cloud Tech-Texas,Active,11-Jun-24,71532.83,eva.garcia@example.com,8728399920,Good,TRUE
EMP1111,Eva,Davis,40,Cloud Tech-Florida,Pending,14-Sep-21,98981.36,eva.davis@example.com,9212493842,Good,TRUE
EMP1112,Heidi,Garcia,40,Cloud Tech-Illinois,Active,26-Dec-24,80242.01,heidi.garcia@example.com,894870604,Good,TRUE
EMP1113,Eva,Miller,25,Cloud Tech-New York,Pending,08-Sep-24,110236.18,eva.miller@example.com,6641877579,Average,TRUE
EMP1114,Alice,Davis,35,Sales-Texas,Active,21-Aug-22,86327.47,alice.davis@example.com,3046875062,Average,FALSE
EMP1115,Eva,Brown,30,Sales-Florida,Pending,25-Jul-24,84420.81,eva.brown@example.com,5190361331,Average,FALSE
EMP1116,Frank,Smith,40,HR-California,Pending,02-Aug-20,110041.32,frank.smith@example.com,5411076094,Average,FALSE
EMP1117,Heidi,Miller,35,DevOps-Florida,Pending,16-Mar-20,81837.81,heidi.miller@example.com,4317350582,Good,TRUE
EMP1118,Frank,Garcia,25,Finance-Illinois,Active,08-Sep-23,110855.72,frank.garcia@example.com,1997179109,Poor,FALSE
EMP1119,Alice,Jones,30,Sales-California,Pending,29-Mar-24,84894.52,alice.jones@example.com,651207048,Excellent,TRUE
EMP1120,Alice,Garcia,30,HR-Illinois,Active,12-Aug-21,80668.13,alice.garcia@example.com,6110804660,Good,TRUE
EMP1121,Bob,Jones,25,DevOps-Illinois,Active,24-Dec-23,61086.47,bob.jones@example.com,9639907675,Excellent,TRUE
EMP1122,Grace,Johnson,25,Admin-Texas,Inactive,28-Aug-20,95339.68,grace.johnson@example.com,9915078592,Poor,TRUE
EMP1123,Eva,Davis,32,DevOps-California,Inactive,05-Sep-24,83774.97,eva.davis@example.com,1109193927,Average,FALSE
EMP1124,Heidi,Jones,32,Admin-Florida,Active,12-May-23,85576.86,heidi.jones@example.com,4567972319,Poor,FALSE
EMP1125,Bob,Garcia,35,Finance-California,Pending,01-Jul-21,107438.46,bob.garcia@example.com,249685497,Good,TRUE
EMP1126,Eva,Johnson,32,Sales-Nevada,Inactive,07-Nov-24,60401.68,eva.johnson@example.com,2274954507,Average,FALSE
EMP1127,Frank,Smith,35,Sales-Illinois,Inactive,21-Jul-22,115299.66,frank.smith@example.com,9203880652,Good,TRUE
EMP1128,David,Brown,32,Finance-New York,Inactive,30-Mar-20,72272.34,david.brown@example.com,3315377958,Average,FALSE
EMP1129,Grace,Brown,40,DevOps-Nevada,Active,11-Oct-22,117537.71,grace.brown@example.com,9594652169,Excellent,FALSE
EMP1130,Frank,Brown,25,Finance-Texas,Pending,24-Jul-22,51074.33,frank.brown@example.com,7303379336,Excellent,TRUE
EMP1131,Charlie,Jones,25,Finance-California,Inactive,30-Jun-23,98489.32,charlie.jones@example.com,5636205014,Excellent,FALSE
EMP1132,Frank,Smith,32,Finance-California,Pending,11-Jan-24,112120.71,frank.smith@example.com,812473949,Poor,TRUE
EMP1133,Alice,Jones,32,Cloud Tech-New York,Pending,02-Nov-23,114465.04,alice.jones@example.com,334234257,Good,FALSE
EMP1134,Bob,Davis,40,Cloud Tech-Nevada,Pending,22-Nov-24,57035.51,bob.davis@example.com,3230241025,Poor,TRUE
EMP1135,Eva,Jones,25,Cloud Tech-California,Active,23-Aug-21,75092.43,eva.jones@example.com,1534735527,Excellent,TRUE
EMP1136,David,Smith,32,Finance-Illinois,Pending,11-Jun-24,62603.98,david.smith@example.com,9611223385,Good,FALSE
EMP1137,Grace,Smith,32,DevOps-New York,Inactive,09-Apr-23,60018.24,grace.smith@example.com,5596309937,Excellent,FALSE
EMP1138,Eva,Davis,40,HR-Nevada,Active,05-Jul-24,82567.73,eva.davis@example.com,4253042896,Poor,TRUE
EMP1139,Charlie,Smith,25,Finance-California,Pending,04-Sep-21,94725.71,charlie.smith@example.com,3179128684,Poor,FALSE
EMP1140,Eva,Garcia,40,HR-New York,Inactive,13-Oct-24,83824.56,eva.garcia@example.com,7872558776,Poor,FALSE
EMP1141,Frank,Smith,32,HR-Nevada,Inactive,14-Feb-20,118456.11,frank.smith@example.com,4969033372,Excellent,TRUE
EMP1142,Eva,Brown,25,Sales-Nevada,Pending,10-Apr-20,113743.19,eva.brown@example.com,6346692547,Good,TRUE
EMP1143,Eva,Garcia,30,Sales-California,Active,27-Jul-23,63309.24,eva.garcia@example.com,1214785389,Good,FALSE
EMP1144,Charlie,Garcia,25,DevOps-Nevada,Active,24-Sep-21,105202.73,charlie.garcia@example.com,7895677664,Excellent,TRUE
EMP1145,Frank,Davis,30,Cloud Tech-California,Inactive,10-Mar-24,79085.22,frank.davis@example.com,7546027340,Good,TRUE
EMP1146,Frank,Williams,32,Sales-California,Active,10-Jun-21,113983.43,frank.williams@example.com,5148881430,Excellent,TRUE
EMP1147,Eva,Williams,35,Cloud Tech-Florida,Active,15-Oct-20,102790.6,eva.williams@example.com,1150835353,Good,FALSE
EMP1148,Grace,Smith,32,HR-Texas,Inactive,29-Jan-20,68512.1,grace.smith@example.com,4439284043,Average,FALSE
EMP1149,Frank,Garcia,35,Sales-Florida,Pending,30-Jan-22,57584.23,frank.garcia@example.com,5669078262,Average,TRUE
EMP1150,Alice,Williams,32,Sales-California,Pending,29-Mar-21,95335.67,alice.williams@example.com,3373898774,Poor,FALSE
EMP1151,Heidi,Williams,35,DevOps-Florida,Active,13-Oct-20,53174.28,heidi.williams@example.com,1536637779,Average,TRUE
EMP1152,Heidi,Smith,25,Cloud Tech-New York,Pending,04-Oct-20,77205.21,heidi.smith@example.com,5292407552,Average,FALSE
EMP1153,Grace,Williams,32,DevOps-Nevada,Active,18-Dec-24,79041.92,grace.williams@example.com,6668459089,Average,TRUE
EMP1154,Heidi,Jones,32,Finance-California,Active,14-Nov-23,75937.1,heidi.jones@example.com,2259999662,Excellent,TRUE
EMP1155,David,Johnson,35,Cloud Tech-Nevada,Inactive,20-Jan-23,113118.73,david.johnson@example.com,6186371596,Average,FALSE
EMP1156,Alice,Davis,40,HR-New York,Active,02-Oct-24,107693.38,alice.davis@example.com,4121820969,Average,TRUE
EMP1157,David,Johnson,32,Cloud Tech-Texas,Inactive,13-May-21,119217.46,david.johnson@example.com,2316433480,Poor,FALSE
EMP1158,David,Smith,25,Sales-New York,Pending,18-Mar-21,106913.71,david.smith@example.com,7058025661,Average,FALSE
EMP1159,Charlie,Brown,32,Cloud Tech-California,Active,23-Sep-20,87815.08,charlie.brown@example.com,1286716322,Average,TRUE
EMP1160,Bob,Davis,25,Admin-Texas,Inactive,05-Jun-24,105190.21,bob.davis@example.com,4672994937,Good,TRUE
EMP1161,Alice,Smith,30,HR-Texas,Active,28-Feb-24,79467.24,alice.smith@example.com,7430271692,Poor,FALSE
EMP1162,Bob,Garcia,40,Finance-California,Pending,30-Apr-23,57633.78,bob.garcia@example.com,8597779013,Poor,TRUE
EMP1163,Alice,Brown,32,HR-Florida,Pending,04-Mar-20,54257.78,alice.brown@example.com,7546926328,Poor,TRUE
EMP1164,Grace,Johnson,40,DevOps-Texas,Inactive,29-Dec-23,113679.06,grace.johnson@example.com,6762916031,Poor,TRUE
EMP1165,Bob,Smith,35,Sales-New York,Active,15-Sep-20,69251.12,bob.smith@example.com,4841376814,Poor,TRUE
EMP1166,Frank,Garcia,40,Sales-Illinois,Inactive,18-Jul-22,85388.58,frank.garcia@example.com,1185672437,Poor,TRUE
EMP1167,Bob,Davis,32,DevOps-New York,Inactive,13-Jul-22,112166.37,bob.davis@example.com,701765635,Excellent,FALSE
EMP1168,Heidi,Davis,40,Finance-Nevada,Active,02-Oct-21,79873.48,heidi.davis@example.com,41257770,Average,FALSE
EMP1169,Frank,Miller,30,DevOps-Florida,Active,05-Jul-20,108224.03,frank.miller@example.com,1837274219,Poor,TRUE
EMP1170,Bob,Garcia,35,Admin-Illinois,Active,16-Apr-23,116963.72,bob.garcia@example.com,9124186209,Average,TRUE
EMP1171,Bob,Jones,40,HR-Nevada,Inactive,12-Nov-24,114109.06,bob.jones@example.com,4275230836,Average,TRUE
EMP1172,Eva,Williams,32,HR-California,Active,29-Mar-23,85518.88,eva.williams@example.com,816470899,Excellent,FALSE
EMP1173,Heidi,Brown,30,Cloud Tech-California,Pending,22-Jan-22,58041.97,heidi.brown@example.com,6335331059,Poor,TRUE
EMP1174,David,Garcia,40,Sales-Illinois,Pending,14-Oct-23,94988.94,david.garcia@example.com,531312205,Good,FALSE
EMP1175,Eva,Miller,25,Admin-California,Pending,10-Apr-24,71628.93,eva.miller@example.com,8155839385,Excellent,FALSE
EMP1176,Alice,Williams,30,Admin-Illinois,Pending,31-Mar-22,54870.98,alice.williams@example.com,6133155205,Good,FALSE
EMP1177,Alice,Williams,25,DevOps-Illinois,Active,09-Feb-22,79388.27,alice.williams@example.com,5063731494,Average,TRUE
EMP1178,Frank,Smith,35,DevOps-California,Pending,06-May-23,55946.99,frank.smith@example.com,136497188,Average,FALSE
EMP1179,Charlie,Williams,32,Cloud Tech-Nevada,Active,11-Jul-21,81017.91,charlie.williams@example.com,2419562524,Excellent,TRUE
EMP1180,Heidi,Jones,40,HR-New York,Pending,21-Aug-20,74162.1,heidi.jones@example.com,7150997682,Excellent,FALSE
EMP1181,Heidi,Davis,32,DevOps-California,Active,27-Mar-21,77668.44,heidi.davis@example.com,8903091435,Good,TRUE
EMP1182,Alice,Miller,30,HR-New York,Active,14-Apr-24,67886.37,alice.miller@example.com,3910257431,Poor,FALSE
EMP1183,Alice,Williams,40,DevOps-Florida,Active,21-Sep-20,76614.52,alice.williams@example.com,6303975244,Good,TRUE
EMP1184,Frank,Smith,25,Finance-Nevada,Active,12-Jun-22,51311.91,frank.smith@example.com,864035532,Excellent,FALSE
EMP1185,Frank,Jones,32,Finance-Illinois,Inactive,24-Dec-23,94809.92,frank.jones@example.com,8033968526,Good,TRUE
EMP1186,Grace,Johnson,25,HR-New York,Pending,31-Jul-22,108241.81,grace.johnson@example.com,171302320,Excellent,TRUE
EMP1187,Bob,Davis,40,Cloud Tech-New York,Inactive,21-Apr-23,78031.49,bob.davis@example.com,2983381673,Good,TRUE
EMP1188,Eva,Davis,35,Admin-California,Active,05-Jun-20,85733.83,eva.davis@example.com,2336293448,Excellent,TRUE
EMP1189,David,Miller,35,HR-Nevada,Pending,27-Jul-24,60338.29,david.miller@example.com,7347156626,Excellent,FALSE
EMP1190,Eva,Davis,30,Admin-Illinois,Active,05-Apr-24,103140.67,eva.davis@example.com,7689627065,Excellent,FALSE
EMP1191,Heidi,Williams,40,Sales-Illinois,Inactive,26-Oct-23,114690.8,heidi.williams@example.com,1498282466,Poor,TRUE
EMP1192,Frank,Smith,35,Admin-Florida,Active,18-Aug-22,80954.56,frank.smith@example.com,4746897151,Good,FALSE
EMP1193,Eva,Davis,32,Cloud Tech-California,Pending,31-May-20,71728.55,eva.davis@example.com,7323008575,Good,TRUE
EMP1194,Alice,Davis,35,HR-Texas,Pending,04-Nov-24,118415.8,alice.davis@example.com,6656749159,Good,TRUE
EMP1195,Grace,Johnson,40,Sales-Illinois,Pending,25-Mar-20,81481.36,grace.johnson@example.com,1692364586,Excellent,FALSE
EMP1196,David,Johnson,35,Sales-Florida,Pending,04-Nov-20,117040.57,david.johnson@example.com,5066337049,Good,TRUE
EMP1197,Frank,Brown,25,Sales-Nevada,Active,21-Mar-20,67342.06,frank.brown@example.com,2497243991,Good,TRUE
EMP1198,Heidi,Jones,32,Sales-Illinois,Active,15-Jan-22,76099.64,heidi.jones@example.com,116691835,Excellent,FALSE
EMP1199,Grace,Williams,35,DevOps-Illinois,Active,04-Jun-24,94162.06,grace.williams@example.com,2644886945,Average,TRUE
EMP1200,Frank,Davis,25,Sales-Nevada,Inactive,04-Aug-21,67639.7,frank.davis@example.com,1195243639,Excellent,TRUE
EMP1201,Charlie,Garcia,35,Cloud Tech-Illinois,Pending,16-Oct-20,114172.25,charlie.garcia@example.com,2701168645,Good,TRUE
EMP1202,Grace,Davis,30,Sales-Nevada,Active,26-Sep-21,89124.54,grace.davis@example.com,2252237280,Excellent,TRUE
EMP1203,Frank,Smith,30,DevOps-Nevada,Pending,04-Nov-23,113871.36,frank.smith@example.com,7932302345,Average,FALSE
EMP1204,Grace,Brown,32,HR-Texas,Inactive,24-Sep-21,62618.4,grace.brown@example.com,7912141613,Excellent,FALSE
EMP1205,Heidi,Jones,30,Admin-New York,Active,07-Jun-20,70705.45,heidi.jones@example.com,1509377099,Good,FALSE
EMP1206,Alice,Garcia,35,Sales-New York,Pending,10-Feb-22,60797.69,alice.garcia@example.com,4090138068,Average,TRUE
EMP1207,Charlie,Brown,40,Cloud Tech-Florida,Inactive,17-Oct-23,100371,charlie.brown@example.com,8477596554,Poor,TRUE
EMP1208,Eva,Miller,40,Admin-Illinois,Active,25-Sep-21,117591.76,eva.miller@example.com,5356690550,Good,FALSE
EMP1209,David,Jones,35,DevOps-Illinois,Inactive,03-Aug-22,103860.7,david.jones@example.com,762091842,Average,TRUE
EMP1210,Grace,Davis,30,Admin-Illinois,Active,22-Nov-24,67500.22,grace.davis@example.com,5797863049,Average,TRUE
EMP1211,Frank,Davis,32,Cloud Tech-Nevada,Pending,09-Oct-24,58727.44,frank.davis@example.com,5057397690,Poor,TRUE
EMP1212,Charlie,Jones,35,Finance-Illinois,Active,28-Aug-24,80623.08,charlie.jones@example.com,5671649327,Excellent,TRUE
